Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Max Muncy","ATH",86.1679,334.422,305.759,71.2433,45.4226,15.1797,0.888087,9.75294,36.0047,36.6379,19.9946,0.57768,94.5846,5.25982,2.12625,1.28271,4.28268,3.2512,1.60132,0.233005,0.0597886,0.28283,0.211394,0.289662,0.384153,0.293444,0.673815,0.151148,3.92325,0.302094,0.105763,-0.468301,34.1899,-5.32466,86.2893,-0.362538,0.909393,-5.781793385744095,2.475545585155487,0.819731,999,1.74427,0.652745,0.723614,1.74427,-0.652745,4.03518,309.9,3.603488372,309.9,3.603488372,,,,,,,,,,,,,,,,,,,"Max Muncy","29779",691777
"Nathan Lukes","TOR",82.7584,321.623,288.096,73.9774,52.0374,14.4075,1.19828,6.33423,37.2367,34.7759,25.4246,1.03578,51.4755,2.01803,2.69894,3.38567,6.80245,2.81898,1.11184,0.25678,0.079051,0.160049,0.493917,0.318693,0.381068,0.306056,0.699761,0.124288,3.88586,0.290333,0.0165886,-0.409387,36.1745,-1.82779,95.9777,-0.392798,2.05473,-1.9175496101379395,-1.168520212173462,0.81683,999,2.86512,0.31543,1.01377,2.86512,-0.31543,3.64831,313,3.771084337,313,3.771084337,,,,,,,,,,,,,,,,,,,"Nathan Lukes","18123",664770
"Chandler Simpson","TBR",110.007,453.409,420.729,119.908,100.312,15.7943,3.01389,0.788629,56.3543,32.5208,24.7678,0.415226,48.5998,0.858921,2.80417,4.25002,8.61784,42.1628,8.9835,0.285002,0.0546257,0.107187,0.509628,0.324017,0.342492,0.294446,0.666509,0.0574906,7.25868,0.318379,-0.244128,3.925,46.7232,-6.85062,86.977,3.68087,0.325635,-3.2980010509490967,-4.140480279922485,0.808969,175.1999969482422,2.04995,0.659396,2.63668,2.04995,-0.659396,1.48442,456.5,4.15,456.5,4.15,,,,,,,,,,,,,,,,,,,"Chandler Simpson","31912",802415
"Kody Clemens","MIN",74.2359,285.753,259.882,59.6782,33.195,11.6117,1.92337,12.9482,33.5114,35.6761,20.7166,0.372689,69.6115,2.60608,1.54831,0.999827,3.45207,3.16871,0.996312,0.229636,0.0724984,0.243607,0.297603,0.291484,0.438588,0.313687,0.730072,0.208952,4.83866,0.261251,0.0800223,-0.144917,33.9105,0.146566,99.873,-0.0648945,1.31157,-0.10767374187707901,-1.916985034942627,0.799111,689.5399780273438,3.03667,0.0924098,0.846215,3.03667,-0.0924098,3.87171,319.3,4.314864864,319.3,4.314864864,,,,,,,,,,,,,,,,,,,"Kody Clemens","20572",665019
"Vaughn Grissom","LAA",80.4449,315.432,286.076,69.3479,48.9854,13.2995,0.944539,6.11856,34.8713,29.6113,22.4609,0.235088,64.4894,4.25199,2.4092,0.23369,5.88912,5.21144,1.43069,0.242411,0.0712068,0.204448,0.348288,0.304763,0.359667,0.292978,0.66443,0.117256,4.59945,0.290206,0.0621615,-0.0417894,32.1291,-5.14167,85.1875,0.0203722,1.5603,-5.486534338444471,2.331997036933899,0.788023,999,3.49523,-0.235644,1.00389,3.49523,0.235644,3.66148,284.9,3.56125,284.9,3.56125,,,,,,,,,,,,,,,,,,,"Vaughn Grissom","26031",687093
"Victor Robles","SEA",91.292,355.411,315.683,75.9729,53.3359,15.0179,1.59241,6.02673,41.5524,31.2618,23.0507,0.173483,77.1843,9.41901,3.08912,4.16946,5.4496,18.5578,4.89238,0.240662,0.0648563,0.217169,0.298644,0.308741,0.355597,0.294215,0.664337,0.114935,6.42568,0.296934,-0.216987,1.14272,36.5581,-5.43646,93.7491,0.925735,0.972987,-1.692745566368103,-3.013696610927582,0.770028,649.4400024414062,1.7436,-0.615408,1.34388,1.7436,0.615408,3.20816,339,3.725274725,339,3.725274725,,,,,,,,,,,,,,,,,,,"Victor Robles","18363",645302
"Blaze Alexander","BAL",86.0222,334.731,296.243,66.5855,44.8586,12.5533,1.24175,7.93178,36.9497,32.6067,27.0448,0.0296378,101.967,7.36158,2.0264,2.05527,4.96979,5.54391,2.65274,0.224767,0.0807958,0.304623,0.265232,0.303575,0.355849,0.292879,0.659424,0.131082,4.67912,0.311374,0.285887,-0.500649,34.0677,-5.48336,87.7413,-0.214762,-0.300941,-5.051056697964668,1.0265628099441528,0.766976,999,2.65986,0.915194,0.764312,2.65986,-0.915194,3.98092,302.8,3.520930232,302.8,3.520930232,,,,,,,,,,,,,,,,,,,"Blaze Alexander","23789",677942
"Brooks Baldwin","CHW",102.572,389.883,356.215,85.2271,55.557,15.9739,1.34494,12.3512,42.1824,42.6258,25.9804,0.464089,92.5791,2.00395,2.20442,3.47869,5.49425,7.6242,2.10596,0.239257,0.0666364,0.237454,0.280629,0.292987,0.395672,0.299033,0.688659,0.156415,4.59715,0.287491,0.0291902,0.113963,41.629,-4.43865,90.1283,0.143154,-0.7837,-4.405783295631409,-1.3113334774971008,0.765113,999,2.43988,-0.608585,0.674585,2.43988,0.608585,4.10055,378.5,3.674757281,378.5,3.674757281,,,,,,,,,,,,,,,,,,,"Brooks Baldwin","31394",681460
"Trevor Larnach","MIN",108.379,445.339,393.386,96.6904,63.3388,18.5922,1.02803,13.7314,52.3683,50.858,43.9994,1.35122,104.355,3.39067,4.09411,0.468428,8.69299,3.47614,1.62186,0.24579,0.0987999,0.234327,0.421633,0.323871,0.402995,0.317261,0.726866,0.157205,3.32546,0.296925,-0.111495,-0.691026,54.1411,1.52086,102.335,-0.802522,-0.881429,0.42324745655059814,-8.311774730682373,0.761134,999,2.22766,-0.353885,0.340934,2.22766,0.353885,4.54542,483.7,4.478703703,483.7,4.478703703,,,,,,,,,,,,,,,,,,,"Trevor Larnach","21501",663616
"Lane Thomas","KCR",99.1457,404.337,362.701,83.5762,51.3281,17.8653,1.70998,12.6728,48.8331,44.3598,32.7268,0.166615,105.358,4.73952,3.71862,0.45064,5.28707,13.6751,4.69479,0.230427,0.0809394,0.260571,0.310623,0.299695,0.393933,0.302501,0.693627,0.163505,5.62492,0.285453,0.146656,0.227333,44.3106,-3.46489,92.5103,0.37399,-0.366962,-3.205271363258362,-3.1210080087184906,0.752838,711.5900268554688,2.87288,-0.252,0.742609,2.87288,0.252,4.00985,419.8,4.24040404,419.8,4.24040404,,,,,,,,,,,,,,,,,,,"Lane Thomas","16939",657041
