Name,Team,Age,xwOBA,Spd,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",33,0.45925570055028764,4.561006246619184,0.24742268,0.58247423,0.2999112164532697,0.7084153917100694,"Aaron Judge",15640,592450
"Carter Jensen","KCR",21,0.4469486181286798,1.86160714,0.20833333,0.58333333,0.33605066935221356,0.6326035181681315,"Carter Jensen",29478,695600
"George Springer","TOR",35,0.40411586595618204,5.566251475760748,0.15829146,0.46733668,0.2906911377935582,0.5709399217571052,"George Springer",12856,543807
"Corey Seager","TEX",31,0.3998089669764727,2.9122851188955092,0.15254237,0.53559322,0.28501849927400286,0.568665233411287,"Corey Seager",13624,608369
"Ben Rice","NYY",26,0.3942605005948322,4.25697607031184,0.15363881,0.55795148,0.2833875402360515,0.5566133163517637,"Ben Rice",29576,700250
"Mike Yastrzemski","KCR",34,0.3933317533103369,3.467465388045908,0.10869565,0.47826087,0.28051408131917316,0.5507459395971054,"Mike Yastrzemski",14854,573262
"Jo Adell","LAA",26,0.36543284652522245,3.199761119158778,0.17150396,0.49604222,0.260303955078125,0.5491393461681547,"Jo Adell",20220,666176
"Yordan Alvarez","HOU",28,0.3928899863331588,1.3668099905664806,0.13768116,0.52898551,0.28394819317442,0.5487813776189631,"Yordan Alvarez",19556,670541
"Jahmai Jones","DET",27,0.39949191816701185,5.20637711208454,0.13402062,0.53608247,0.29068238605824553,0.5474003045133842,"Jahmai Jones",18872,663330
"Cal Raleigh","SEA",28,0.37054980078408883,3.6125405289292245,0.1946472,0.49635036,0.2312603380856098,0.54667755741401,"Cal Raleigh",21534,663728
"Nick Kurtz","ATH",22,0.37232573958467846,4.005585207014148,0.18315018,0.50915751,0.2448798386749049,0.5369352281520361,"Nick Kurtz",35110,701762
"Salvador Perez","KCR",35,0.3572396373296801,0.5969938275,0.14705882,0.46428571,0.2688245917085427,0.5344549591217808,"Salvador Perez",7304,521692
"Dominic Canzone","SEA",27,0.3761265882805212,2.715773692355324,0.14516129,0.5,0.28979296723673165,0.5326424590812242,"Dominic Canzone",26438,686527
"Tyler O'Neill","BAL",30,0.3603316086989183,5.303269472526228,0.16541353,0.39097744,0.24300742807967887,0.5225727228828556,"Tyler O'Neill",15711,641933
"Ramón Laureano","BAL",30,0.3671699550509037,3.458001510023525,0.12631579,0.48421053,0.2716434048307545,0.5224905051146036,"Ramon Laureano",17128,657656
"Giancarlo Stanton","NYY",35,0.3544363028736321,0.54525439625,0.21935484,0.5483871,0.23509879667596165,0.5197530846040411,"Giancarlo Stanton",4949,519317
"Jonathan Aranda","TBR",27,0.3819005305950458,1.6551912250006973,0.12781955,0.54135338,0.29097307085666085,0.5151777553298493,"Jonathan Aranda",21837,666018
"Byron Buxton","MIN",31,0.3501997990394706,8.841006063805853,0.17630058,0.53757225,0.24864306440098818,0.514483128729787,"Byron Buxton",14161,621439
"Rafael Devers","BOS",28,0.38665359590682513,1.8909486341253312,0.16161616,0.55555556,0.2602602406181532,0.5085279739210966,"Rafael Devers",17350,646240
"Bobby Witt Jr.","KCR",25,0.36518207527476654,6.85677019628007,0.12475248,0.48514851,0.28524657218686994,0.5076251614478327,"Bobby Witt Jr.",25764,677951
"Vladimir Guerrero Jr.","TOR",26,0.3843275221295777,2.899592320826113,0.12224449,0.50701403,0.30042264241814204,0.5063716120280504,"Vladimir Guerrero Jr.",19611,665489
"Colson Montgomery","CHW",23,0.34103837249972296,2.6332417525,0.14367816,0.44252874,0.23046210793887867,0.5013376871744791,"Colson Montgomery",29712,695657
"Junior Caminero","TBR",21,0.34550213557417675,3.493051410731117,0.14049587,0.51446281,0.2553041683457259,0.5006131443525115,"Junior Caminero",28163,691406
"Trent Grisham","NYY",28,0.3699475024119917,3.0450652043238775,0.1424581,0.46368715,0.24838942554798205,0.4982283125039537,"Trent Grisham",18564,663757
"Zach Neto","LAA",24,0.3441548050541581,5.970075685404899,0.1396648,0.46648045,0.2506548816939274,0.4948849013127179,"Zach Neto",31347,687263
"Riley Greene","DET",24,0.3345828975012543,2.7080321405004515,0.17079208,0.45544554,0.23899309794108073,0.49409337361653644,"Riley Greene",25976,682985
"Daulton Varsho","TOR",28,0.32661689475730615,5.730680167283062,0.15909091,0.40340909,0.2263692425143334,0.49371337890625,"Daulton Varsho",19918,662139
"Kerry Carpenter","DET",27,0.335282844409608,4.66134240831487,0.12312312,0.46246246,0.25245385514550556,0.49292735564403045,"Kerry Carpenter",25961,681481
"Brent Rooker","ATH",30,0.3514974574850063,4.211400078702912,0.1371308,0.44725738,0.2611552001953125,0.48955361328125,"Brent Rooker",19627,667670
"Roman Anthony","BOS",21,0.37200824156502227,4.793568764958778,0.15517241,0.60344828,0.25776389241218567,0.48356202244758606,"Roman Anthony",31812,701350
"Julio Rodríguez","SEA",24,0.347904129245682,6.643498436609363,0.09760956,0.48007968,0.27393709622896634,0.4833796105018029,"Julio Rodriguez",23697,677594
"Jazz Chisholm Jr.","NYY",27,0.3450513608527906,5.58777202646682,0.15047022,0.43260188,0.2342716728970086,0.48078997723467937,"Jazz Chisholm Jr.",20454,665862
"Alejandro Kirk","TOR",26,0.358883381837879,1.4033184934020304,0.10050251,0.50753769,0.2778230285644531,0.48034044053819447,"Alejandro Kirk",22581,672386
"Romy Gonzalez","BOS",28,0.34415154471158277,5.291629849098628,0.12552301,0.57322176,0.2758697218196407,0.4801174090926055,"Romy Gonzalez",21562,663853
"Rowdy Tellez","- - -",30,0.3284486257112943,2.2250404988282027,0.15311005,0.46411483,0.2343320615563838,0.47928321072799523,"Rowdy Tellez",15679,642133
"Brandon Lowe","TBR",30,0.33514220857880805,2.817048811632488,0.12912088,0.46428571,0.25395791492764913,0.4784805963909815,"Brandon Lowe",18882,664040
